DATE,CAR IDENTIFICATION,SERVICE,AMOUNT,CODE,NOT PAID,BALANCE,ADDITIONAL SERVICE,RESPONSIBILITY,
09/08/2024,KCY 688Y COLT,WASH AND VACUUM,600,MPESA,PAID,,,,
09/08/2024,KAY 419 FORRESTER,NORMAL WASH,300,MPESA,PAID,,,,
09/08/2024,KCH 178G LEXUS,NORMAL WASH,300,MPESA,PAID,,,,
09/08/2024,KDL 274X ISUZU,NORMAL WASH,300,MPESA,PAID,,,,
09/08/2024,KBA 128G BENZ,WASH AND VACUUM,400,CASH,PAID,,,,
09/08/2024,KDB 647W PRADO,WASH AND VACUUM,800,MPESA,PAID,,,,
10/08/2024,KAV 198Z PRADO,WASH AND VACUUM,600,CASH,PAID,,,,
10/08/2024,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
10/08/2024,KDH 544M BMW,WASH AND VACUUM,800,MPESA,PAID,,,,
10/08/2024,KCW 966Q HONDA,WASH AND VACUUM,500,MPESA,PAID,,,,
10/08/2024,KCC 211R SUBARU,ENGINE WATER WASH,"1,000.00",MPESA,PAID,,,,
10/08/2024,KDQ 604R MAZDA,WASH AND VACUUM,500,CASH,PAID,,,,
11/08/2024,KBZ 782S HONDA,WASH AND VACUUM,300,MPESA,PAID,,,,
12/08/2024,KCY 688Y COLT,NORMAL WASH,300,MPESA,PAID,,,,
12/08/2024,KBD 059D FIELDER,WASH AND VACUUM,300,CASH,PAID,,,,
12/08/2024,KAE 590G BENZ,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2024,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
13/08/2025,KDD 448E PRADO,WASH AND VACUUM AND ENGINE,"1,300.00",MPESA,PAID,,,,
13/08/2026,KDA 598A MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2027,KDE 814U VITS,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2028,KBZ 417H HONDA,WASH AND ENGINE,600,MPESA,PAID,,,,
13/08/2029,GKB 001H BENZ,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2030,KCF 684F OUTBACK,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2031,KDG 068B TIGUAN,NORMAL WASH,300,MPESA,PAID,,,,
14/08/2024,KCW 419H FUSO,,"1,100.00",MPESA,PAID,,,,
14/08/2025,KCW 404 BMW,,600,CASH,PAID,,,,
15/08/2024,KCH 155U BENZ,NORMAL WASH,300,MPESA,PAID,,,,
15/08/2025,KCY 269F VOXY,NORMAL WASH,300,MPESA,PAID,,,,
15/08/2026,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
15/08/2027,KDH 177A WISH,NORMAL WASH,300,MPESA,PAID,,,,
15/08/2028,KDH 054G ISUZU,NORMAL WASH,500,MPESA,PAID,,,,
16/08/2024,KCR 330R COLT,NORMAL WASH,300,MPESA,PAID,,,,
16/08/2025,KCV 005X OUTBACK,WASH AND ENGINE,600,MPESA,PAID,,,STEVE,
