DATE,CAR IDENTIFICATION,TYPE OF SERVICE,AMOUNT,CODE,STATUS,BALANCE,RESPONSIBILITY,,,,,,,,,,,,,,,,,,,
1.12.2024,KCN 037X Landcruiser,NORMAL WASH,300,SL11SC2G7B,PAID,,FELIX,,,,,,,,,,,,,,,,,,,
1.12.2024,KDN 055C Subaru,NORMAL WASH,300,SL19TMSPO1,PAID,,FELIX,,,,,,,,,,,,,,,,,,,
2.12.2024,KCS 807V Audi Q7,NORMAL WASH,300,SL26YB4FFM,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,KDH 278H Landcruiser,NORMAL WASH,300,SL23XMNRVH,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,KDB 286J Landcruiser,NORMAL WASH,300,SL29X7OTCJ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,KBV 304U Hilux,NORMAL WASH,300,SL27XN907Z,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,KDR 788T Audi,NORMAL WASH,300,SL26YB4FFM,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,KCC 305B Noah,NORMAL WASH,300,SL20Y1WW06,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,KBK 140N Premo,WASH & ENGINE,600,SL26YB4FFM,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
2.12.2024,Motor Bike,NORMAL WASH,100,SL26YB4FFM,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
3.12.2024,KBR 157V Forester,NORMAL WASH,300,SL405945F2,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
3.12.2024,KDN 384R CX-5,NORMAL WASH,300,SL405945F2,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
3.12.2024,KCV 727X Benz,NORMAL WASH,300,SL303CTYWK,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
3.12.2024,KAK 542Q Toyota,NORMAL WASH,300,SL303CTYWK,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
3.12.2024,KDP 524D Forester,NORMAL WASH,300,SL313M1HSZ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
3.12.2024,KDA 193G Nissan,NORMAL WASH,300,-,UNPAID,,ANTHONY,,,,,,,,,,,,,,,,,,,
3.12.2024,KDE 905X Mazda,NORMAL WASH,300,-,UNPAID,,MUTUA,,,,,,,,,,,,,,,,,,,
4.12.2024,KBZ 052W Landcruiser,WASH & VACUUM,600,SL56CGTLYO,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
4.12.2024,Motor Bike,NORMAL WASH,100,SL487KMH5W,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
4.12.2024,KCY 688E Colt,BODY WASH,200,SL599UBGLR,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
5.12.2024,KBW 607G Mark X,NORMAL WASH,300,SL54AE3M9Q,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
5.12.2024,KBA 201B BMW,NORMAL WASH,300,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,,,,
5.12.2024,KDC 082B BMW,NORMAL WASH,400,SL52BJFESA,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
5.12.2024,KBQ 393X Subaru,BODY WASH,200,SL50BS1C3U,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
5.12.2024,KCU 784A Landrover,NORMAL WASH,300,SL58CAWGV2,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
6.12.2024,KDC 619S Toyota Aqua,NORMAL WASH,300,-,UNPAID,,ANTHONY,,,,,,,,,,,,,,,,,,,
6.12.2024,KCD 719K Mazda Demio,WASH & VACUUM,600,SL68FUFKIU,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
6.12.2024,KDG 264W CX-5,WASH & VACUUM,600,SL68FUFKIU,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
6.12.2024,KAU 437N Subaru Imprezza,NORMAL WASH,300,SL79IVZL81,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KCZ 819A Ford,NORMAL WASH,300,SL79JX7029,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KDP 268Z Axela,NORMAL WASH,300,SL79KIQ18L,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KAK 542Q Toyota,NORMAL WASH,300,SLC16HP0JT,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KDN 025H Hilux,NORMAL WASH,300,SL73JA1931,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KCX 170N Lancer,NORMAL WASH,300,SL73KHVFMX,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KCZ 555V Landcruiser,NORMAL WASH,300,SL73KQI2L1,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KBD 478Q Landcruiser,NORMAL WASH,300,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KDG 312E Vitz,WASH & VACUUM,600,SL72LGYIEY,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KDE 905X Demio,NORMAL WASH,300,SL79LBO0P3,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
7.12.2024,KCR 110U Golf,NORMAL WASH,300,SL79LBO0P3,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KDR 997H Premio,WASH & ENGINE,600,SLA7VYSWEB,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KDR 414U Suzuki,BODY WASH,300,SLA7VYSWEB,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KDR 778T,WASH & VACUUM,600,SLA7VYSWEB,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,LR17 UPJ Benz,BODY WASH,300,SL97TBXKY5,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
