DATE,CAR IDENTIFICATION,,AMOUNT,CODE,STATUS,BALANCE,RESPONSIBILITY,,,,,,,,,,,,,,,,
01/11/2024,KDB 647W PRADO,NORMAL WASH,300.00,MPESA,PAID,,,,,,,,,,,,,,,,,,
02/11/2024,KCR 330Z COLT  SK21D4ZU6X,NORMAL WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
02/11/2024,KCR 006K PRADO,NORMAL WASH,300.00,,UNPAID,,STEVE,,,,,,,,,,,,,,,,
02/11/2024,KDR 709N SIENTA,NORMAL WASH,300.00,MPESA,PAID,,STEVE,,,,,,,,,,,,,,,,
02/11/2024,KDP 572M LANDCRUISER,NORMAL WASH,300.00,,UNPAID,,STEVE,,,,,,,,,,,,,,,,
02/11/2024,KDD 341W MITSUBISHI,ENGINE WATER WASH,300.00,MPESA,PAID,,STEVE,,,,,,,,,,,,,,,,
02/11/2024,KDP 268Z MAZDA,NORMAL WASH,300.00,MPESA,PAID,,STEVE,,,,,,,,,,,,,,,,
02/11/2024,KAU 437N FORRESTER,NORMAL WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
02/11/2024,KCN 491F ALLION,NORMAL WASH,200.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
02/11/2024,KBJ 632D MERCEDES,NORMAL WASH,300.00,MPESA,PAID,,STEVE,,,,,,,,,,,,,,,,
02/11/2024,GK PRADO (FOREIGN AFFAIRS),WASH AND VACUUM,"1,000.00",MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
02/11/2024,KDN 304C MAZDA CX5,NORMAL WASH,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
02/11/2024,KBR 157V FORRESTER,NORMAL WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
02/11/2024,KAQ 455E COROLLA,WASH AND VACUUM,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
03/11/2024,KCW 377M DEMIO--SK48JHIWOI,WASH AND VACUUM,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
03/11/2024,KCW 900T PRADO,NORMAL WASH,300.00,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,
03/11/2024,KDL 088Q GOLF,WASH AND VACUUM,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
03/11/2024,KDD 448E PRADO,NORMAL WASH,300.00,MPESA,PAID,,MUTUA (CK),,,,,,,,,,,,,,,,
03/11/2024,KCZ 825A HIACE,NORMAL WASH,400.00,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,
03/11/2024,KDD 966E FORD,NORMAL WASH,400.00,,UNPAID,,ANTHONY,,,,,,,,,,,,,,,,
03/11/2024,KDP 550M DEMIO,NORMAL WASH,300.00,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,
05/11/2024,KCY 368H ,NORMAL WASH,300.00,MPESA,PAID,Mutua,MUTUA,,,,,,,,,,,,,,,,
05/11/2024,KCE 847M BMW,NORMAL WASH,300.00,MPESA,PAID,Paybill,MUTUA,,,,,,,,,,,,,,,,
05/11/2024,GKA 955R BENZ,NORMAL WASH,300.00,,UNPAID,Service Inclusive,MUTUA,,,,,,,,,,,,,,,,
05/11/2024,KCQ 320Q BMW,NORMAL WASH,300.00,MPESA,PAID,Paybill,MUTUA,,,,,,,,,,,,,,,,
05/11/2024,KDC 082B BMW,NORMAL WASH,400.00,,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/06/2024,KDJ 124K BENZ,NORMAL WASH,300.00,,,,MUTUA,,,,,,,,,,,,,,,,
11/06/2024,KBJ 632D BENZ,NORMAL WASH,300.00,MPESA,PAID,Mutua,MUTUA,,,,,,,,,,,,,,,,
11/06/2024,GKA 955R BENZ,NORMAL WASH,300.00,,,Service IInclusive,MUTUA,,,,,,,,,,,,,,,,
11/07/2024,KBJ 632D BENZ,NORMAL WASH,200.00,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,
11/07/2024,KDC 336X,NORMAL WASH,200.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/07/2024,KCR 340X,NORMAL WASH,300.00,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,
11/08/2024,KCD 385F NISSAN NAVARRA,NORMAL WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/08/2024,KBN 130L NISSAN X-TRAIL,WASH AND ENGINE,500.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/08/2024,CARPET,CARPET WASH,"1,000.00",,UNPAID,,ANTONY,,,,,,,,,,,,,,,,
11/08/2024,KCZ 819A FORD T,NORMAL WASH,"1,000.00",,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
11/08/2024,KBW 225J TOYOTA,WASH AND VACUUM,500.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/09/2024,KDQ 604R MAZDA,NORMAL WASH,300.00,,SERVICE INCLUSIVE,,FELIX,,,,,,,,,,,,,,,,
11/09/2024,KDD 448E LAND CRUISER,NORMAL WASH,400.00,MPESA,PAID,,FELIX,,,,,,,,,,,,,,,,
11/09/2024,KBZ 237C RAV4,BODY WASH,600.00,MPESA,PAID,,FELIX,,,,,,,,,,,,,,,,
11/09/2024,KDG 312E,WASH AND VACUUM,600.00,,SERVICE INCLUSIVE,,FELIX,,,,,,,,,,,,,,,,
11/09/2024,KDQ 319H,WASH AND VACUUM,600.00,MPESA,PAID,,FELIX,,,,,,,,,,,,,,,,
11/09/2024,KCG 214P TOYOTA,WASH AND VACUUM,600.00,MPESA,PAID,,FELIX,,,,,,,,,,,,,,,,
11/09/2024,KDK 367F,WASH AND VACUUM,500.00,MPESA,PAID,,FELIX,,,,,,,,,,,,,,,,
11/11/2024,KBZ 286 BMW,BODY WASH,300.00,,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
11/11/2024,KCX 044X SUBARU,WASH AND VACUUM,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/11/2024,KAX 577J PREMO,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/11/2024,KDJ 190Y MARK X,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/11/2024,KBR 157Y FORESTER,BODY WASH,200.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/11/2024,KAU 437N SUBARU,NORMAL WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
11/11/2024,KDH746M SUBARU CUBE,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,KBW 486R BELTA,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,KDN 400B BENZ,BODY WASH,300.00,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,GKA 955R BENZ,BODY WASH,300.00,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,GKB 671S,BODY WASH,300.00,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,KDN 304C CX-5,BODY WASH,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,KDQ 604R,BODY WASH,300.00,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,KCR 330Z,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
12/11/2024,KCH 665L LANDCRUISER,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
13/11/2024,KDD 614Z GOLF,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
13/11/2024,KDN 400B BENZ,BODY WASH,300.00,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
13/11/2024,KCA 321G HARRIER,BODY WASH & VACUUM,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
13/11/2024,KDC 966E FORD,BODY WASH,400.00,-,OFFICE(UNPAID),,MUTUA,,,,,,,,,,,,,,,,
13/11/2024,KBJ 632D BENZ,ENGINE WASH,400.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
13/11/2024,KDJ 476K NISSAN,ENGINE WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
14/11/2024,KDN 400B BENZ,BODY WASH,300.00,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
14/11/2024,KCX 044X SUBARU,BODY WASH,200.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
14/11/2024,KDR 723A VITZ,WASH AND VACUUM,500.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
14/11/2024,KDG 312E,WASH AND VACUUM,600.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
14/11/2024,KDD 448E LAND CRUISER,BODY WASH,400.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
15/11/2024,KCG 369B HARRIER,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
15/11/2024,KDR 709 RACTIX,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
15/11/2024,KDB 647W LAND CRUISER,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
16/11/2024,KDE 905X MAZDA DEMIO,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
16/11/2024,KCC 305B NOAH,BODY WASH,300.00,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
18/11/2024,KAE 590C BENZ,BODY WASH,300,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
18/11/2024,KCZ 819A FORD,BODY WASH,300,,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,
18/11/2024,KDA 779J TOYOTA PASIO,BODY WASH,300,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
18/11/2024,KCU 269F NOAH,BODYWASH & ENGINE,600,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
18/11/2024,KDC 082B BMW,BODY WASH,300,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
19/11/2024,KDQ 379H AXELA,BODY & ENGINE WASH,600,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
19/11/2024,KBJ 632D BENZ,NORMAL WASH,300,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
19/11/2024,KDP 572M LANDCRUISER,BODY WASH,200,,UNPAID,,RAEL,,,,,,,,,,,,,,,,
19/11/2024,KBZ 286W,NORMAL WASH,300,MPESA,PAID,,MUTUA,,,,,,,,,,,,,,,,
20/11/2024,KBP 139L HONDA,NORMAL WASH,300,,OFFICE (UNPAID),,OFFICE,,,,,,,,,,,,,,,,
20/11/2024,KDD 966E FORD,NORMAL WASH,400,,OFFICE (UNPAID),,ANTONY,,,,,,,,,,,,,,,,
