DATE,CAR IDENTIFICATION,SERVICE,AMOUNT,CODE,STATUS,BALANCE,ADDITIONAL SERVICE,RESPONSIBILITY,Normal
10/01/2024,KDP 330S MERCEDES ,NORMAL WASH,300,MPESA,PAID,,,,
10/01/2024,KAX 577J COROLLA,NORMAL WASH,300,MPESA,PAID,,,,
10/01/2024,KCR 330Z COLTT,NORMAL WASH,300,MPESA,PAID,,,,
10/01/2024,CARPET,NORMAL WASH,"2,700.00",CASH,PAID,,,,ANTHONY RECEIVED CASH
10/01/2024,KDP 911E MERCEDES,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
10/01/2024,KDE 003J MERCEDES,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
10/01/2024,KCW 404X BMW,NORMAL WASH,300,,PAID,,,STEVE,
10/02/2024,KCY 688T COLT,NORMAL WASH,200,MPESA,PAID,,,,
10/02/2024,KCG 369V HARRIER,NORMAL WASH,300,MPESA,PAID,,,,
10/03/2024,KCG 369V HARRIER,NORMAL WASH,"3,000.00",MPESA,PAID,,,SERVICE INCLUSIVE,
10/03/2024,KDQ 379H AXELA,WASH AND ENGINE,600,MPESA,PAID,,,,
10/03/2024,KDH 177M WISH,NORMAL WASH,300,MPESA,PAID,,,,
10/03/2024,KCP 684T HYUNDAI,WASH AND ENGINE,600,MPESA,PAID,,,,
10/03/2024,KBM 458Z  SUCCEED,ENGINE WATER WASH,300,MPESA,PAID,,,,
10/04/2024,KCR 340X COLT,NORMAL WASH,200,MPESA,PAID,,,,
10/04/2024,KDG 966E FORD,NORMAL WASH,,,UNPAID,400,,ANTHONY,WRITE OFF
10/04/2024,KBW 240R HYUNDAI,NORMAL WASH,200,MPESA,PAID,,,,
10/04/2024,KDN 384R MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
10/04/2024,KDD 614Z GOLF,NORMAL WASH,300,MPESA,PAID,,,,
10/04/2024,KDD 161P MAZDA,WASH AND VACUUM,600,MPESA,PAID,,,,
10/04/2024,BLOCK AND HEADERS,NORMAL WASH,200,MPESA,PAID,,,,
10/05/2024,KCQ 395H MERCEDES,NORMAL WASH,300,,PAID,,,,
10/05/2024,KCN 419F ALLION,NORMAL WASH,300,MPESA,PAID,,,,
